기준_년분기_코드,행정동_코드,행정동_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20194,11140645,청구동,3574169,1667947,1906222,581790,434787,564688,539899,521797,931208,996800,762159,415863,396271,546378,456697,519430,517310,514192,512480,509718,494309,506731
20201,11140645,청구동,3733581,1704900,2028681,534172,489599,594529,569207,572292,973781,1033024,779883,430646,418372,589422,482232,532859,532670,533694,534066,528597,531082,540614
20202,11140645,청구동,3761188,1712073,2049116,538191,515585,598481,568991,578129,961810,1044338,784271,431768,420936,592456,487418,538640,538273,539207,536143,534927,532088,541908
20203,11140645,청구동,3770634,1724046,2046588,539508,510412,616438,567902,589910,946464,1039602,783223,435872,426655,597395,487887,541410,538006,536867,537898,535476,535874,545104
20204,11140645,청구동,3765743,1731091,2034654,554776,496431,630001,571618,585686,927231,1026653,782428,438327,425754,604667,487917,540805,540963,537598,538517,533119,530613,544128
20211,11140645,청구동,3785824,1747465,2038360,554662,499647,633886,572746,600430,924453,1033992,784945,435732,427602,609509,494043,541793,540478,536427,539621,538239,540730,548537
20212,11140645,청구동,3611179,1675575,1935604,548491,471827,596662,546330,564543,883326,994605,751237,417431,407186,572283,468435,520704,517997,516517,517964,515163,508972,513861
20213,11140645,청구동,3325722,1541593,1784128,493619,441260,558446,492562,525904,813930,900793,685865,387881,383836,538911,428434,474077,475271,476780,476347,470936,474333,477978
20214,11140645,청구동,3252604,1522664,1729941,511350,420719,553269,485530,505947,775789,868878,673095,385523,378304,530469,416338,465875,464573,464312,462723,462124,462603,470395
20221,11140645,청구동,3269723,1531647,1738077,511852,418961,550971,498662,503441,785837,864934,675083,388291,383382,538570,419466,463141,461979,464059,464217,464859,472802,478667
20222,11140645,청구동,3206609,1517571,1689038,557101,404324,525248,480377,484444,755115,851160,669278,385767,373042,519896,407466,459628,460950,459370,459114,457134,450321,460095
20223,11140645,청구동,3154034,1488619,1665414,530898,398206,519751,471565,483132,750482,839562,653385,373135,368187,514657,405106,455318,454509,451222,449000,447732,443830,452424
20224,11140645,청구동,3281357,1545890,1735468,585592,399961,547585,483313,494001,770905,891083,688877,386358,373700,521157,420180,472835,467840,471104,469024,466989,459889,473675
20231,11140645,청구동,3347230,1570162,1777068,565151,405596,566610,505439,513515,790920,923428,699381,386176,374548,531267,432431,476502,476141,477196,476176,474271,478065,488879
20232,11140645,청구동,3321724,1551847,1769878,577636,397517,567998,512242,498921,767410,919529,690961,383792,372865,524651,429926,473908,472861,476832,477174,473056,470310,477586
20233,11140645,청구동,3292410,1515993,1776417,540986,403325,562036,505944,495558,784564,916420,683148,377180,371498,518140,426024,475813,472982,468519,467789,463028,463329,480951
20234,11140645,청구동,3291551,1512158,1779392,556845,386515,574329,504074,494442,775345,909014,693268,385112,370420,513051,420685,471938,469715,469454,469640,468925,466315,475563
20191,11140665,동화동,2948706,1381449,1567256,386521,380586,446283,486488,505047,743784,696758,606209,375012,385887,524094,360746,417590,422386,421530,424312,423219,421907,417762
